Name	Length	EValue	BitScore	
kinrd-a6wby2	409	3e-42	150
aedae-Q8MMJ6	461	9e-42	150
drops-q290v9	463	1e-41	149
mycsm-Q938D3	374	5e-41	146
ctefe-Q8MZR5	465	7e-41	147
frasn-A8LEU6	390	2e-40	145
fraaa-q0rel4	346	2e-40	144
meslo-mlr6682	444	1e-39	144
frasc-q2j7n1	383	3e-39	142
drome-CG15102	463	6e-39	142
drops-q290v8	468	7e-37	136
trini-O44124	463	1e-36	135
spoex-q1w696	462	3e-35	131
drome-CG15106	468	2e-34	129
frasc-q2jax4	419	9e-34	126
trini-Q94806	463	1e-33	127
ustma-q4p6v2	419	2e-33	125
bommo-q6u6j0	439	4e-33	125
rhime-RB0213	344	4e-29	112
frasn-a8l745	411	5e-29	112
gibze-q4igc5	414	8e-29	111
nocfa-q5yw53	298	2e-28	109
manse-hyep	462	1e-27	109
caeel-C45B11.6	457	5e-23	95.9
caebr-a8y4p9	428	1e-22	94.4
aspor-q2u3a6	349	3e-21	89.4
neucr-100H1.230	683	6e-13	65.5
deigd-q1j1b2	270	2e-05	41.2
agrra-echA	294	2e-05	41.2
phyit-d0nhj2	320	2e-05	41.2
mycgi-a4t6l3	278	8e-05	39.3
arath-dl4016c.1	365	1e-04	39.3
psea6-q15uk1	309	1e-04	38.9
pirsd-d2qyx7	299	1e-04	38.5
cork4-c4llk3	314	4e-04	37.0
phyit-d0ns42	333	4e-04	37.0
agrvs-b9k3r6	371	7e-04	36.6
phyit-d0ns43	333	9e-04	36.2
rhisn-c3knq1	348	9e-04	36.2
rhilw-b6a024	293	0.001	35.8
braja-BLR0418	322	0.001	35.4
sormk-d1z7y1	352	0.001	35.4
jondd-c7r357	324	0.001	35.4
burp8-b2jlf6	347	0.001	35.4
rhoer-c3jiv7	359	0.002	35.4
hypna-q0bzi5	320	0.002	35.0
mycvp-a1ted7	300	0.002	35.0
mago7-a4qx26	357	0.002	35.0
soybe-epoxy	341	0.002	35.0
maize-b6t857	325	0.003	34.7
conwi-d3f5r3	291	0.003	34.7
9acto-q70k85	281	0.003	34.3
9delt-a6g385	309	0.004	33.9
burch-a0kbq9	367	0.005	33.9
sorbi-c5xfu9	325	0.005	33.9
opitp-b1zph9	293	0.005	33.5
thecd-d1abi3	317	0.005	33.5
spima-b5w6w3	290	0.006	33.5
aciju-d0spf9	291	0.007	33.1
strgg-b1vpn6	313	0.007	33.1
rhoe4-c1a149	313	0.007	33.1
mouse-ephx4	359	0.008	33.1
9eury-c1v4h6	305	0.009	33.1
soybn-c6t8a0	318	0.009	33.1
agrrk-b9jmj9	346	0.010	32.7
botfb-a6rvd3	336	0.010	32.7
9gamm-a4bht1	316	0.010	32.7
korve-q1imj9	347	0.011	32.7
aspfn-b8n040	353	0.011	32.7
9gamm-c0vhk2	290	0.011	32.7
roscs-a7nlx2	287	0.011	32.7
9prot-a8tnx8	390	0.011	32.7
maize-b6u9l8	330	0.011	32.7
phano-q0tzh6	339	0.012	32.7
rat-d4a4w4	415	0.012	32.7
sinmw-a6uge0	348	0.012	32.7
9vibr-c9npr5	314	0.012	32.3
rat-d3zkp8	359	0.012	32.7
burpp-b2tc21	321	0.014	32.3
myxxd-q1dbs7	318	0.014	32.3
human-EPHX4	362	0.015	32.3
rhiec-q2k7j4	350	0.015	32.3
ailme-d2huc7	362	0.016	32.3
psefs-c3kbe5	326	0.016	32.0
nech7-c7yqx3	340	0.017	32.0
acam1-b0cbs7	297	0.017	32.0
burcm-q0b2g9	376	0.018	32.0
bacsu-yfhM	286	0.018	32.0
neucr-NCU02924.1	342	0.018	32.0
rhiec-q2jyb1	346	0.020	32.0
lynsp-a0ywe7	292	0.020	31.6
strry-q2mf42	333	0.021	32.0
clob8-a6m042	325	0.022	31.6
coru7-b1vi21	289	0.022	31.6
soybn-c6tm11	238	0.023	31.6
beii9-b2icn8	434	0.023	32.0
yarli-q6ci59	354	0.024	31.6
rhop5-q07mn4	315	0.024	31.6
sinmw-a6ukw5	346	0.025	31.6
strco-SCE6.23C	294	0.025	31.6
9cory-c0why6	302	0.025	31.6
burcc-b1k6n9	341	0.028	31.6
rhoe4-c1a1s7	279	0.029	31.2
bacan-BA1019	291	0.031	31.2
halmd-c7p3m9	301	0.031	31.2
acica-d0s636	292	0.032	31.2
theeb-TLR2066	291	0.032	31.2
bacsk-q5wk07	296	0.033	31.2
deira-DR2549	278	0.033	31.2
9entr-d2zcd4	331	0.033	31.2
9cory-c0e531	305	0.034	31.2
rhosr-q0scq2	285	0.034	31.2
anaco-Q8H289	318	0.036	31.2
triad-b3s706	311	0.038	30.8
rhils-c6b716	345	0.039	30.8
corst-c2cr97	311	0.040	30.8
strav-SAV2722	289	0.041	30.8
bacpe-d3fpy9	283	0.041	30.8
stiad-q096y8	346	0.042	30.8
9rhob-b7ris7	290	0.042	30.8
hera2-a9az89	288	0.043	30.8
ailme-d2hza3	354	0.044	30.8
bacce-BC1027	258	0.045	30.4
rhoba-EPHA	331	0.045	30.8
9gamm-b4x4i6	300	0.046	30.8
beii9-b2iks2	345	0.046	30.8
rhime-RB0209	348	0.047	30.8
ralme-q1lf83	324	0.047	30.8
stanl-d3q2s1	296	0.048	30.4
9rhob-a3tsc2	276	0.049	30.4
sacvd-c7mx36	293	0.049	30.4
haltv-d2rs70	304	0.050	30.4
triei-q111d9	291	0.052	30.4
hera2-a9b2r0	314	0.054	30.4
9rhiz-c8sdq4	353	0.057	30.4
9plan-a6c3s0	285	0.057	30.4
clal4-c4xyx9	322	0.057	30.4
acibt-a3m7c7	306	0.058	30.4
nech7-c7zbr8	338	0.060	30.4
9eury-c1ve51	297	0.060	30.4
9gamm-a0yft3	332	0.060	30.4
nech7-c7ze21	274	0.060	30.0
9gamm-b4x5b0	324	0.061	30.4
neofi-a1di44	332	0.062	30.4
strco-SC1G7.03	286	0.062	30.0
strcl-b5guk2	351	0.064	30.4
strrd-d2b2r7	288	0.066	30.0
deidv-c1cvi6	282	0.067	30.0
phyit-d0nhj4	330	0.068	30.0
soybn-c6tcc6	316	0.068	30.0
trivh-d4dlf5	383	0.068	30.4
9micc-d1mys5	274	0.069	30.0
olico-b6jf45	347	0.070	30.0
myca9-b1mbf9	333	0.074	30.0
brafl-c3z1c7	321	0.076	30.0
9rhob-c9d2y5	310	0.080	30.0
9rhob-q2cgc1	273	0.080	29.6
strav-SAV141	344	0.081	30.0
meslo-mlr6683	337	0.082	30.0
burxl-q13p13	316	0.082	30.0
9bact-a8wbx9	301	0.084	29.6
9bact-a3hsw0	316	0.085	30.0
sulac-q4j9v9	269	0.088	29.6
phano-q0u382	340	0.088	29.6
glovi-GLL4259	291	0.091	29.6
rhoob-c1b7j7	320	0.092	29.6
geosl-q747v8	266	0.093	29.6
cyap4-b8hxy2	303	0.094	29.6
braja-BLR7894	404	0.097	29.6
sacvd-c7mua8	350	0.099	29.6
rhosr-q0san0	335	0.10	29.6
rhoer-c3jwe1	311	0.10	29.6
mycs2-a0qxg0	287	0.10	29.6
chick-q45qt1	324	0.11	29.6
9zzzz-c3v8m7	357	0.11	29.6
chrvo-q7nxy2	343	0.11	29.6
rhopa-q6n684	287	0.11	29.3
cupnh-q0kat1	348	0.11	29.6
alcbs-q0vsg4	323	0.12	29.3
stanl-d3q8a8	284	0.12	29.3
soybn-c6tk81	318	0.13	29.3
artoc-c5fvd5	381	0.13	29.3
9gamm-d0bzz3	292	0.13	29.3
medtr-q1sg67	322	0.13	29.3
poptr-b9i5k0	313	0.13	29.3
xanp2-q26us8	321	0.13	29.3
ajecg-c0p0i7	403	0.14	29.3
ralso-RSC1770	311	0.14	29.3
burch-a0kdr9	261	0.14	28.9
sormk-d1ztt1	389	0.14	29.3
acibt-a3m1g6	290	0.15	28.9
varps-c5czx0	341	0.15	29.3
scls1-a7f7s2	335	0.15	29.3
psef5-q4kch8	315	0.15	28.9
9bact-a1znf6	321	0.16	28.9
9gamm-a0y8i9	299	0.16	28.9
baca2-a7z2m6	286	0.17	28.9
bacp2-a8f9m3	286	0.17	28.9
psemy-a4xxl7	340	0.18	28.9
ajeds-c5jev4	400	0.18	28.9
parl1-a7hw23	323	0.18	28.9
varps-c5d1r3	340	0.18	28.9
copc7-a8nqv8	326	0.18	28.9
mago7-a4qzg2	338	0.18	28.9
metep-a9w7c6	287	0.19	28.9
rhil3-q1mfp5	349	0.19	28.9
cora7-c3pju4	300	0.20	28.5
9rhob-a3ui69	320	0.20	28.5
deigd-q1j079	353	0.21	28.5
parba-c1h8e5	349	0.21	28.5
rhopa-q6n645	316	0.21	28.5
rhopt-b3qjl5	287	0.22	28.5
lepba-b0s8y3	292	0.22	28.5
myca9-b1mf26	301	0.22	28.5
fraaa-q0rbj9	304	0.22	28.5
soybn-c6t8y6	316	0.23	28.5
9cory-c6r7m6	304	0.24	28.5
human-EPHX3	360	0.24	28.5
dena2-d4h2g2	285	0.24	28.5
maggr-q2khf5	347	0.24	28.5
metep-a9w028	341	0.24	28.5
nocfa-q5z2z7	310	0.24	28.5
arath-T14P8.15	324	0.25	28.5
halwd-q18gm0	316	0.26	28.5
hallt-b9lp96	328	0.26	28.5
chipd-c7phr6	337	0.26	28.5
9rhob-a9e239	295	0.28	28.1
gluda-b5zhu5	434	0.29	28.1
rhil3-q1mgx5	345	0.29	28.1
ross1-a5ux72	286	0.30	28.1
mycvp-a1t1x4	336	0.31	28.1
picsi-b8lky4	319	0.32	28.1
9gamm-b4x330	291	0.35	27.7
nicbe-b3vmr4	315	0.35	27.7
solue-q01w12	339	0.36	27.7
nocsj-a1si67	314	0.36	27.7
clam3-a5cr52	301	0.36	27.7
lodel-a5e028	313	0.37	27.7
ricco-b9rfd7	317	0.37	27.7
klepn-c4x8q1	338	0.38	27.7
myca9-b1mhl2	300	0.38	27.7
hahch-q2sj56	356	0.39	27.7
robbh-a4cmz6	281	0.41	27.7
symth-q67kg6	342	0.41	27.7
tetng-q4s144	353	0.41	27.7
9chro-a3im44	291	0.42	27.7
halo1-d0lj21	300	0.42	27.7
strav-SAV3810	333	0.43	27.7
salrd-q2s5u7	296	0.43	27.7
sorbi-c5x230	325	0.46	27.7
metrj-b1m5u1	349	0.47	27.7
ponpy-q5ra40	372	0.48	27.7
vitvi-a5c6e7	317	0.48	27.3
picsi-a9nkq4	318	0.48	27.3
medtr-b7fjm9	319	0.49	27.3
burp8-b2jlf7	341	0.49	27.3
asptn-q0cb76	352	0.49	27.3
rhoob-c1b9y1	312	0.50	27.3
debha-q1ktb1	315	0.51	27.3
frasc-q2j503	304	0.53	27.3
medtr-b7fjp5	313	0.54	27.3
maize-b6uii7	320	0.54	27.3
rhosr-q0sgj4	282	0.54	27.3
9flao-q1vyh1	333	0.55	27.3
metep-a9vxp1	288	0.55	27.3
picgu-a5dr14	306	0.56	27.3
poptr-b9i5j9	309	0.57	27.3
orysa-Q8SAY9	338	0.57	27.3
9burk-b1g1b7	343	0.59	27.3
9burk-b9c1h0	303	0.59	27.3
coref-CE0293	356	0.61	27.3
danre-q5prc6	297	0.62	26.9
9acto-b5hl58	322	0.63	26.9
flaj1-a5fcq1	347	0.64	26.9
shefn-q082c7	329	0.64	26.9
nicbe-b3vmr3	315	0.64	26.9
aspcl-a1c759	333	0.64	26.9
halvd-d4gtr7	316	0.64	26.9
myctu-ephE	327	0.66	26.9
talsn-b8mif8	329	0.66	26.9
sorbi-c5wxa4	315	0.66	26.9
pholu-PLU1261	268	0.69	26.9
mycpa-q744d7	321	0.69	26.9
burm1-a9aq41	347	0.70	26.9
9burk-b9bl28	348	0.73	26.9
bacme-g9bex6	304	0.73	26.9
picsi-a9nvj5	314	0.74	26.9
burca-q1bp72	312	0.77	26.9
metno-b8ige3	350	0.77	26.9
cuppj-q46s00	350	0.77	26.9
9rhob-d0cx39	294	0.77	26.9
culqu-b0wiu7	420	0.78	26.9
9gamm-a0yfz8	320	0.78	26.9
burps-q63i95	350	0.78	26.9
corgl-ephli	331	0.80	26.9
sussc-q6q2c2	309	0.81	26.6
maize-b4fp91	331	0.82	26.6
9burk-b5wt19	347	0.84	26.6
phano-q0uet5	390	0.85	26.9
polsq-a4sz48	287	0.88	26.6
geoog-d2s689	308	0.92	26.6
9gamm-q1n148	318	0.92	26.6
mycgi-a4t2r6	303	0.94	26.6
9alte-a6f0g1	293	0.94	26.6
rhosr-q0ryc0	295	0.95	26.6
rhosr-q0rvd1	377	0.95	26.6
strpu-b2mwn2	315	0.96	26.6
neucr-NCU00350.1	372	0.97	26.6
medtr-q1sfz3	319	0.99	26.6
gibze-q4i7r4	344	1.0	26.6
cyaa5-b1wrh9	291	1.0	26.6
burp8-b2js18	308	1.0	26.6
brafl-c3y9y3	327	1.0	26.6
haltv-d2rtx9	278	1.0	26.2
arath-At3g51000	323	1.1	26.2
ustma-q4p750	395	1.1	26.6
maize-b6tme1	331	1.1	26.2
mycle-ML2297	324	1.1	26.2
9acto-b5i653	358	1.1	26.2
braja-BLR1197	342	1.1	26.2
9rhiz-c4wpy9	400	1.2	26.2
aspor-q2ulv7	292	1.2	26.2
human-EPHX2	317	1.2	26.2
poptr-b9i5j8	310	1.2	26.2
medtr-a2q320	319	1.2	26.2
9cory-c0xu79	294	1.2	26.2
sorc5-a9ewe7	290	1.2	26.2
metrj-b1m8r1	390	1.3	26.2
medtr-b7fka3	316	1.3	26.2
actmd-c6w899	272	1.3	26.2
parl1-a7hq88	292	1.3	26.2
rhops-q136t1	288	1.3	26.2
braso-a4z1v6	307	1.3	26.2
rhop2-q2iwr3	289	1.4	25.8
poptr-b9i9p8	317	1.4	26.2
cuptr-b3r255	360	1.4	26.2
penmq-b6qj15	329	1.4	26.2
9acto-d1xjx7	298	1.4	25.8
9delt-a6g7b3	270	1.4	25.8
mycss-q1b6r6	304	1.4	25.8
salsa-b5x3m6	323	1.4	26.2
frasn-a8lf43	349	1.4	26.2
burpp-b2t8d6	343	1.4	25.8
podan-b2avu5	350	1.5	25.8
pyrtr-b2whb7	347	1.6	25.8
beii9-b2igh0	297	1.6	25.8
9burk-a2whh4	346	1.6	25.8
soybn-c6tnc5	327	1.6	25.8
medtr-a2q321	319	1.7	25.8
maize-b6suw2	329	1.7	25.8
9maxi-c1c0x6	350	1.7	25.8
marmm-q0akn4	323	1.7	25.8
rhopt-b3qdz6	347	1.7	25.8
9burk-a6grp2	314	1.8	25.8
burma-q62hq2	308	1.8	25.8
nech7-c7yvq8	307	1.8	25.8
9acto-d3cxy8	326	1.8	25.8
metpp-a2skw2	300	1.8	25.8
ralme-q3rtl7	352	1.8	25.8
ralme-q1ld62	352	1.8	25.8
9rhob-a4ehf5	272	1.8	25.4
nodsp-a0zeu6	287	1.8	25.4
rhops-q136p7	315	1.8	25.8
naegr-d2w0l5	325	1.8	25.8
braja-BLL1401	287	1.9	25.4
burgb-c5air4	314	1.9	25.4
burvg-a4jpf0	281	1.9	25.4
xanor-q5gyv6	296	1.9	25.4
9burk-b9br29	296	1.9	25.4
sorbi-c5xwd3	314	1.9	25.4
mycgi-a4t5s6	319	2.0	25.4
aspcl-a1c823	336	2.0	25.4
9gamm-a0y7z1	336	2.0	25.4
thidn-q30r81	262	2.1	25.4
artoc-c5fv97	331	2.1	25.4
mycs2-a0r7b6	238	2.1	25.4
mycmm-b2hlr0	296	2.1	25.4
burpp-b2tad8	350	2.1	25.4
mycs2-a0r589	323	2.1	25.4
novad-q2g471	295	2.2	25.4
talsn-b8ly11	352	2.2	25.4
rhos4-q3ivd1	266	2.2	25.4
aciad-q6ff86	313	2.2	25.4
causk-b0t6n2	343	2.3	25.4
alcbs-q0vpa9	292	2.3	25.4
soltu-3epoxy	321	2.4	25.4
anoga-AGCG49488	385	2.4	25.4
orysa-Q9S7P1	322	2.4	25.4
fraaa-q0rr69	305	2.4	25.0
mycsj-a3q6z4	341	2.5	25.4
brasb-a5ej26	302	2.5	25.0
metpb-b1ze11	288	2.5	25.0
mycvp-a1tg44	337	2.5	25.0
myca9-b1mgu3	321	2.6	25.0
psesy-PSPTO0162	274	2.6	25.0
poptr-b9hxr7	335	2.6	25.0
pseu2-q500r7	274	2.6	25.0
ratno-hyes	318	2.6	25.0
9burk-b1g8u8	318	2.7	25.0
kinrd-a6wdx1	274	2.7	25.0
ralme-q1lma2	306	2.7	25.0
silst-q1gl29	315	2.8	25.0
cuppj-q471z7	306	2.8	25.0
chll2-b3ecg4	278	2.9	25.0
eupla-Q84ZZ3	321	2.9	25.0
cupnh-q0k0b3	350	3.0	25.0
burps-q63lt9	317	3.0	25.0
poptr-b9gsc2	316	3.0	25.0
xentr-ephx3	367	3.1	25.0
orysi-a2wn01	335	3.1	25.0
mycsk-a1ub96	290	3.2	25.0
psea6-q15zt2	275	3.2	24.6
deigd-q1j3u6	277	3.2	24.6
9burk-a2w845	290	3.3	24.6
9acto-b5i5i8	271	3.3	24.6
geoog-d2sff0	271	3.4	24.6
cuptr-b3r543	315	3.4	24.6
9lact-a8uab3	291	3.4	24.6
9rhiz-c8sgf6	353	3.5	24.6
burcc-b1k6g4	347	3.5	24.6
thet2-q72hv6	236	3.5	24.6
stiad-q08xn2	297	3.5	24.6
agrtu-EPHA	360	3.6	24.6
9rhiz-c8st97	298	3.6	24.6
burpp-b2t9c4	323	3.6	24.6
strco-SCF11.06	277	3.7	24.6
rhop5-q07mt0	292	3.7	24.6
penmq-b6q6p2	342	3.7	24.6
9bact-b9xku6	348	3.8	24.6
pyrtr-b2wb19	339	3.8	24.6
mycs2-a0r070	300	3.9	24.6
burvg-a4jpa6	301	3.9	24.6
acide-c5szs8	302	3.9	24.6
burxl-q13nr6	272	3.9	24.6
ricco-b9sat8	315	4.0	24.6
ajech-c6h1y9	432	4.0	24.6
aspcl-a1c881	390	4.0	24.6
emeni-q5b2p7	329	4.0	24.6
asptn-q0ccj0	346	4.1	24.6
rhoer-c3jle6	307	4.1	24.6
catad-c7qi50	364	4.2	24.6
triad-b3s705	341	4.2	24.6
chlau-q3e240	266	4.2	24.3
anade-q2iga8	263	4.5	24.3
poptr-b9i7b7	317	4.5	24.3
burma-q62bl4	311	4.5	24.3
arts2-a0jts1	275	4.5	24.3
vera1-c9skm0	352	4.6	24.3
salto-a4xbd5	252	4.7	24.3
strpr-b5h7a8	353	4.7	24.3
varps-c5d1p7	277	4.8	24.3
9gamm-a0yh83	363	4.9	24.3
aspor-q2u4a0	348	5.1	24.3
parl1-a7hqj5	313	5.1	24.3
aroae-q5p1d0	269	5.2	24.3
geoog-d2sbg8	277	5.2	24.3
varps-c5cqf4	303	5.2	24.3
9acto-d3m4j5	304	5.2	24.3
mycmm-b2hkw0	300	5.3	24.3
actmd-c6wf96	308	5.4	24.3
thefy-q47tp4	311	5.4	24.3
orysa-Q8SAY7	333	5.4	24.3
natmm-d3su07	308	5.5	24.3
pelub-q4fl59	244	5.6	23.9
arahy-b4uw64	244	5.6	23.9
aedae-q17pa4	420	5.6	24.3
parba-c1h726	337	5.7	24.3
orysj-q0djj0	331	5.8	23.9
9acto-c4rkt7	310	5.8	23.9
poptr-b9hfa7	321	5.8	23.9
anasp-ALL4221	287	5.9	23.9
anadf-a7h971	354	5.9	23.9
9vibr-a6d007	270	5.9	23.9
gorb4-d0lb63	281	5.9	23.9
gorb4-d0lec3	311	6.0	23.9
soybn-c6tky2	315	6.0	23.9
corjk-q4jsq8	306	6.0	23.9
rhops-q13a34	331	6.1	23.9
cuptr-b3r8f5	306	6.3	23.9
aspnc-a2qn70	403	6.3	23.9
yarli-q6caz1	371	6.3	23.9
psepf-q3kf76	299	6.3	23.9
9rhob-a3vi51	351	6.7	23.9
korve-q1il84	264	6.8	23.9
arath-At3g05600	331	6.8	23.9
9acto-d1xdu4	278	6.9	23.9
mouse-hyes	318	7.2	23.9
cantt-c5mhn5	309	7.2	23.9
marav-a1u6j8	293	7.2	23.9
polsj-q12fg6	325	7.2	23.9
orysa-Q8H026	317	7.3	23.9
burvg-a4jq03	269	7.4	23.5
strpr-b5h6v9	342	7.7	23.5
9rhob-a3slw0	296	7.9	23.5
anoga-AGCG54454	385	7.9	23.5
phopr-q6lik8	271	8.0	23.5
ralpj-b2uc04	308	8.0	23.5
9gamm-b7rwq6	324	8.4	23.5
myca9-b1mku6	290	8.5	23.5
soltu-5epoxy	321	8.6	23.5
myca9-b1mg93	329	8.6	23.5
chlpd-a1bgb2	279	8.6	23.5
ricco-b9rw24	315	8.8	23.5
burps-q63mn8	306	8.8	23.5
ricco-b9rw25	313	8.8	23.5
ralp1-c6bp81	342	8.9	23.5
poptr-b9h579	349	8.9	23.5
goshi-b3rfk6	315	9.1	23.5
rhoba-RB13257	286	9.2	23.5
aspfu-q4wzh6	336	9.3	23.5
aers4-a4sp83	266	9.4	23.5
burvg-a4jl48	347	9.5	23.5
rhop2-q2iwn1	315	9.6	23.5
catad-c7pvf9	323	9.6	23.5
aedae-q176j0	337	9.6	23.5
pyrtr-b2wn49	387	9.7	23.5
aspcl-a1cln8	342	9.8	23.5
9sphn-q1ncy1	255	9.8	23.1
mouse-ephx3	424	9.9	23.5
vibpa-VP0409	271	10	23.1
strsw-c9zb30	280	10	23.1
poptr-b9p657	320	10	23.1
mycvp-a1t302	306	10	23.1
cordi-q6njt5	312	10	23.1
nosp7-b2iv02	289	11	23.1
acicj-a5fxa9	300	11	23.1
aerhh-a0kiv7	266	11	23.1
myctu-ephF	300	11	23.1
pospm-b8p280	354	11	23.1
metno-b8iv05	297	11	23.1
parbd-c1fyz8	337	11	23.1
burp8-b2jnu7	296	11	23.1
gorb4-d0l5z5	300	11	23.1
9zzzz-b3t1b2	331	11	23.1
synja-q2jx01	301	11	23.1
penmq-b6qry3	325	11	23.1
vibal-q1v3b4	284	11	23.1
mets4-b0umw2	293	11	23.1
arath-At2g18360	328	11	23.1
burca-q1bxs9	310	12	23.1
bacme-g2rqm9	291	12	23.1
sorc5-a9grp4	283	12	23.1
nakmy-c8x969	270	12	23.1
xylcx-d1bzr4	310	12	23.1
brasb-a5eb24	348	12	23.1
9burk-b1gat0	272	12	23.1
aspnc-a2qb93	331	12	23.1
orysa-q2qlm4	320	12	23.1
braso-a4yxg2	261	12	23.1
myctu-ephc	316	12	23.1
sorbi-c5yt11	326	13	23.1
shesh-a8fw06	278	13	23.1
9vibr-a3y4j0	271	13	22.7
mycmm-b2hj55	322	13	23.1
mycpa-q73u18	296	13	22.7
anoga-q7pv09	279	13	22.7
shedo-q12n80	297	13	22.7
chagb-q2gte6	340	13	23.1
canal-q5ady2	308	13	22.7
acib3-b7guy6	281	13	22.7
9actn-a4ahc2	352	14	22.7
phano-q0v0y6	326	14	22.7
sphww-a5ve53	328	14	22.7
mycgi-a4t5p0	312	14	22.7
salai-a8m0v2	276	14	22.7
mago7-a4qt55	366	14	22.7
9acto-c4rcp2	294	14	22.7
ralp1-c6bhp1	303	14	22.7
orysa-Q8W3F4	318	14	22.7
9rosi-q76e11	316	14	22.7
lepin-LA3100	309	14	22.7
ajedr-c5gab1	337	15	22.7
9bact-a4gi13	328	15	22.7
beii9-b2ifa0	298	15	22.7
ajech-c6hev4	304	15	22.7
psepg-b0klt5	346	15	22.7
salai-a8m5z6	310	15	22.7
vitvi-a5b8q6	316	15	22.7
mycss-q1b4j3	300	16	22.7
9delt-q0ygi0	272	16	22.7
agrrk-b9jla0	301	16	22.7
salto-a4xc17	310	16	22.7
orysa-q2qyi1	466	16	22.7
9chlb-q3vjx9	263	16	22.7
culqu-b0xj30	338	16	22.7
cyth3-q11sp5	283	16	22.7
strgg-b1vlg6	277	17	22.7
9acto-b5gau8	323	17	22.7
catad-c7qib3	294	17	22.3
9rhob-b6r3g8	298	17	22.3
braja-EPHA	330	18	22.7
culqu-b0wft3	336	18	22.7
pseau-Q84H25	302	18	22.3
strfr-q45ra5	347	18	22.7
sacen-a4faz0	274	18	22.3
braja-BLL1234	260	18	22.3
mycs2-a0qtx4	297	18	22.3
strav-SAV154	307	18	22.3
neofi-a1dk35	271	19	22.3
psef5-q4k982	301	19	22.3
gibze-q4i8j3	345	19	22.3
ricco-b9rt84	321	20	22.3
scls1-a7ery8	334	20	22.3
comte-b7wvy1	305	20	22.3
triad-b3rut0	307	20	22.3
acica-d0s7v9	280	20	22.3
aspfu-q4wuk8	396	20	22.3
vibsp-a3uzc9	271	21	22.3
